question,answer,answer_gemma2b_hybrid
Who was the creator of the physical skill game of which the Singapore building complex The Interlace resembles?,Leslie Scott,The context does not provide sufficient information to answer the question.
Are Weinan and Jieyang both cities in China?,yes,The context does not provide sufficient information to answer the question.
"For what football club based in Bacup, Lancashire, England did Harry Davies play as forward?",Bacup Borough Football Club,Bacup Borough
"Which ""natural philosopher"" covered in ""Shock and Awe: The Story of Electricity"" was born on March 14, 1692?",Pieter van Musschenbroek,The context does not provide sufficient information to answer the question.
"what year did Singer, songwriter, David Bowie star in British film, Everybody Loves Sunshine?",1999,The context does not provide sufficient information to answer the question.
Max Neukirchner currently competes on a sports bike that has been manufactured since what year?,1998,The context does not provide sufficient information to answer the question.
Raja Rajendra is a 2015 Kannada comedy film that stars what actress who is known for her role in the film Drishyam?,Ishita Dutta,The context does not provide sufficient information to answer the question.
"The arena home to the Cleveland Monsters, replaced a stadium opened in what year?",1974,The context does not provide sufficient information to answer the question.
Past performers at Stand-Up New York include an American stand-up comedian featured in what Comedy Central show?,The Awkward Comedy Show,The context does not provide sufficient information to answer the question.
Are Nangpai Gosum and Noshaq in the same mountain range?,no,The context does not provide sufficient information to answer the question.
What prison is the Cleveland Strangler incarcerated at?,Chillicothe Correction Institution,The context does not provide sufficient information to answer the question.
"Akihiko Nakaya was a regular presenter on what Japanese preeminent automobile magazine, video, and DVD series?",Best Motoring,The context does not provide sufficient information to answer the question.
"Where are the headquarters of the company that developed the AN/APQ-159, an I band/J band radar system?","Ferguson, Missouri, United States.",The context does not provide sufficient information to answer the question.
Are both Tonka and The Happiest Millionaire names of films?,yes,The context does not provide sufficient information to answer the question.
Vernon Mount was named for which home of the first President of the US and his wife?,Mount Vernon,The context does not provide sufficient information to answer the question.
What is the third-largest Spanish city and the birthplace of the soprano Consuelo Mayendía?,Valencia,The context does not provide sufficient information to answer the question.
"Lee Min-ho, a South Korean actor and singer, starred in his first leading role in film with ""Gangnam Blues"",  a 2015 South Korean noir action film written and directed by who?",Yoo Ha,The context does not provide sufficient information to answer the question.
Park Bo-young was in what him film,Scandal Makers,"Question: What film was Park Bo-young in?
Answer: Park Bo-young was in the film ""Wolf Boy""."
"What date did the television series first air in which ""Shareholder Meeting"" is an episode?","March 24, 2005",The context does not provide sufficient information to answer the question.
Eva Quinn Dolan is best known for originating the role of Katie in the Broadway adaption of a rock musical that follows who?,Dewey Finn,The context does not provide sufficient information to answer the question.
What is the name of the supplement that the newspaper where Siobhán Creaton is a business journalist publishes?  ,Seachtain,The context does not provide sufficient information to answer the question.
"What is this country whose capital and largest city is the place where the Romanian musicologist, composer, conductor, and teacher Eusebius Mandyczewski passed away?",Austria,The context does not provide sufficient information to answer the question.
How many spin-off series were spawned by the TV show that featured Farrah Abraham in its first season while she was pregnant?,three,The context does not provide sufficient information to answer the question.
"Where were the band formed who recorded the song, In the Street, for their 1972 album ?","Memphis, Tennessee,",The context does not provide sufficient information to answer the question.
The Lusthog Squad was depicted in the 1987 film by which American film director and producer?,Stanley Kubrick,The context does not provide sufficient information to answer the question.
The politician who is the U.S. Representative for Virginia's 9th congressional district and is a member of what is also known as the House Freedom Caucas is a member of which political party?,Republican Party,The context does not provide sufficient information to answer the question.
"Who is  famous for being the lead singer and bassist of the band Level 42, Mark King or Yoon Chae-kyung?",Mark King,The context does not provide sufficient information to answer the question.
"The actress that played Sandy Jameson in the tv series ""7th Heaven"", stars with Madeline Zima and Monica Lo in a 2008 film directed by who?",Irving Rothberg,The context does not provide sufficient information to answer the question.
What is the CPVI of the district Maureen Reed announced her running for in 2010 but later withdrew? ,R + 12,The context does not provide sufficient information to answer the question.
"Everybody's Rockin' is the thirteenth studio album by Canadian musician Neil Young, Old Ways a 1985 album by Canadian musician and singer-songwriter Neil Young, released on which date?  ","August 12, 1985",The context does not provide sufficient information to answer the question.
"Which mountain is highest, Saltoro Kangri or Gasherbrum IV?",Gasherbrum IV,The context does not provide sufficient information to answer the question.
"What neighboring suburb of O'Halloran Hill has a population of more than 12,000 people?",Hallett Cove,The context does not provide sufficient information to answer the question.
"THe Big Mac is sold in what restaurant that was founded in San Bernardino, California?",McDonald's,The context does not provide sufficient information to answer the question.
Mary Ann Parkinson's husband hosted what talk show from 1971 to 1982 and from 1998 to 2007?,"""Parkinson""",The context does not provide sufficient information to answer the question.
Ellen's Energy Adventure is starring a comedian from which country?,American,The context does not provide sufficient information to answer the question.
The person that formed The Jeff Beck Group had been a guitarist in a group formed when? ,1963,The context does not provide sufficient information to answer the question.
"When was the first printing of the magazine that published Mr. Meecher, the Uncool Teacher?",December 1937,The context does not provide sufficient information to answer the question.
Hans Albert Einstein had a close personal connection to what Serbian physicist born in 1875?,Mileva Marić,The context does not provide sufficient information to answer the question.
"In which city is the southern terminus of this north–south United States highway located, which Kentucky Route 1632 connects KY 9 with?",Miami,The context does not provide sufficient information to answer the question.
The youngest member of Girl's Day stars along with which other actor in the upcoming South Korean film Monster?,Kim Myung-min,The context does not provide sufficient information to answer the question.
What is the active ingredient in the product Freederm that treats acne?,Nicotinamide,"What is the active ingredient in the product Freederm that treats acne?
```
The context does not provide sufficient information to answer the question.
```"
The mysterious island of Al Amarja was created by the same person who created what Collectible Miniatures Game?,Dreamblade,The context does not provide sufficient information to answer the question.
Whith which record the French electronic musician of Ross Ross Ross was affiliated with?,Ed Banger Records,The context does not provide sufficient information to answer the question.
"What is the name of the professional racing driver forn in January 1987, who won the 2013 Monaco GP2 Series Round?",Sam Bird,The context does not provide sufficient information to answer the question.
On what show did an actress featuring in Warmer in the Winter star as Maya Hart?,Girl Meets World,The context does not provide sufficient information to answer the question.
"Second Skin and Out of Place, are films of which genre?",documentary,The context does not provide sufficient information to answer the question.
"What is the name of the football team that defeated the Stanford Cardinal 31–27 on December 31, 2009 at the Sun Bowl?",Oklahoma Sooners,The context does not provide sufficient information to answer the question.
What is the birthday of the female co-star of the movie Steel Dawn?,"May 26, 1956",The context does not provide sufficient information to answer the question.
"Which 2003 election followed the death of a man who was a British Labour Party, SDP and Liberal Democrat politician?",The 2003 University of Oxford election,The context does not provide sufficient information to answer the question.
What was the original name of the stadium that the Texas Tech Red Raiders played the Vanderbilt Commodores at in 1974?,Atlanta Stadium,The context does not provide sufficient information to answer the question.
"The English actor who starred in ""Against the Sun"" made his film debut as Peagreen Clock in which film?",The Borrowers,The context does not provide sufficient information to answer the question.
In which county was Joseph A. Griffo born?,Oneida County,The context does not provide sufficient information to answer the question.
Percy Williams Bridgman experimented with what two dependents of ductility?,temperature and pressure,The context does not provide sufficient information to answer the question.
"World's Greatest Dad is a 2009 American satirical black comedy film, its stars include Daryl Sabara, an American actor, perhaps best known for playing who in the ""Spy Kids"" film series?",Juni Cortez,The context does not provide sufficient information to answer the question.
What is the nationality of the media escort of Myla Goldberg ?,American,The context does not provide sufficient information to answer the question.
What city does Gunakamadeva and Pashupatinath Temple have in common?,Kathmandu,The context does not provide sufficient information to answer the question.
How many individuals are in the senate wherein Barbara Allen resided?,40,The context does not provide sufficient information to answer the question.
"Of  Center for Advanced Studies in Engineering and University of Idaho which, if either, is a public university?",University of Idaho,The context does not provide sufficient information to answer the question.
Which University in the state of Texas has gone through multiple name changes that also includes an ABA-accredited law school?,Texas Southern University,The context does not provide sufficient information to answer the question.
Refugee Boy is a novel written by a British writer born in which year ?,1958,The context does not provide sufficient information to answer the question.
Where were the band featured in the performance film Rendezvous with Ragnarok formed ?,"Richmond, Virginia",The context does not provide sufficient information to answer the question.
Where did Apollo 8 and Jim Lovell both travel?,to the Moon,The context does not provide sufficient information to answer the question.
Are both Beyazıt Tower and Rüstem Pasha Mosque located in Istanbul ?,yes,The context does not provide sufficient information to answer the question.
What boxer considered by some to be Europe's best middleweight boxer of the 1940s and 1950s is the older brother of Dick Turpin?,Randolph Adolphus Turpin,The context does not provide sufficient information to answer the question.
"What is the birth date of the player who played for the Independence Yankees in 1994, and also with the New York Yankees?","October 20, 1931",The context does not provide sufficient information to answer the question.
Why is a trophy named after Santiago Bernabéu Yeste?,one of the most important men in Real Madrid's history,The context does not provide sufficient information to answer the question.
"How many people, as of the 2015 census, comprise the ethnic group in which Mira Nair is part of?",4 million,The context does not provide sufficient information to answer the question.
What river is located 5 miles east of Terrington St Clement?,River Nene,The context does not provide sufficient information to answer the question.
"Which big box store that surrounds Westgate Mall has 78 supermarkets in New Hampshire, Massachusetts, and Maine?",Market Basket,Market Basket
In what year was the 2007 National League Championship Series Most Valuable Player's agent born?,1952,The context does not provide sufficient information to answer the question.
"Memorial Ossuary Cer, was built in the village Tekeriš on the mountain Cer, the remains of the killed Serbian soldiers after what, which was fought between Austria-Hungary and Serbia in August 1914 during the early stages of the Serbian Campaign of the First World War?",Battle of Cer,The context does not provide sufficient information to answer the question.
What bank merged to creathe the Swiss Bank Corporation?,Union Bank of Switzerland,What bank merged to create the Swiss Bank Corporation?
Does Commonweal or Truckin' Magazine have more editors?,Commonweal,The context does not provide sufficient information to answer the question.
"Which decision occurred first, ""Everson v. Board of Education"" or ""Rasul v. Bush""?",Everson v. Board of Education,The context does not provide sufficient information to answer the question.
The Chuch stars an actor born 1955 from which nationalities?,American-Italian,The context does not provide sufficient information to answer the question.
"Which writer was born first, Marguerite Yourcenar or Rosario Castellanos?",Marguerite Yourcenar,The context does not provide sufficient information to answer the question.
Timothy Gerard Grunhard was  was the offensive line coach for the Kansas Jayhawks representing what university?,University of Kansas,The context does not provide sufficient information to answer the question.
"Who coached the team, in 2014, for which Zach LaVine was the 13th overall pick during the NBA draft?",Flip Saunders,The context does not provide sufficient information to answer the question.
Bagalwad is a village in an Indian state formed the passage of the States Reorganisation Act on what date?,1 November 1956,The context does not provide sufficient information to answer the question.
Willie Almond played for what Lancashire-based football club?,Accrington Football Club,The context does not provide sufficient information to answer the question.
What animal do both Cocky and cockfights have in common?,rooster,The context does not provide sufficient information to answer the question.
Fernado Casado Arambillet starred in a film that was the final one for which director?,Luis Buñuel,The context does not provide sufficient information to answer the question.
Go Soo appeared in a 2009 South Korean mystery thriller that was based on what novel?,Journey Under the Midnight Sun,The context does not provide sufficient information to answer the question.
Apple II series and Acorn Atom are both what?,home computer,"Question:- Apple II series and Acorn Atom are both what?
Answer: - home computers."
Agona Nkwanta is the capital of Ahanata west district in what region?,Ghana,The context does not provide sufficient information to answer the question.
What type of plants are Desfontainia and Tithonia?,flowering,"Question: What type of plants are Desfontainia and Tithonia?
Answer: The context does not provide sufficient information to answer the question."
Sports Direct is owned by an English billionaire that owns which football/soccer club?,Newcastle United,The context does not provide sufficient information to answer the question.
"Sonic Rush Adventure (ソニック ラッシュアドベンチャー , Sonikku Rasshu Adobenchā ) is a 2007 platform game in the ""Sonic the Hedgehog"" series for the Nintendo DS, Sonic the Hedgehog (Japanese: ソニック・ザ・ヘッジホッグ , Hepburn: Sonikku za Hejjihoggu ) is the title character and protagonist of the same name, the series released by ?",Sega,The context does not provide sufficient information to answer the question.
"What did British biochemist that led  theoretical chemistry in  Department of Chemistry, University of Cambridge won nobel prize for ",Chemistry.,"Question: What did British biochemist that led theoretical chemistry in  Department of Chemistry, University of Cambridge won nobel prize for 
Answer: Lord Alexander R. Todd won the Nobel Prize in Chemistry."
ROH 13th Anniversary Show took place at a hotel and casino owned and operated by Boyd Gaming on what date in 2015?,March 1,The context does not provide sufficient information to answer the question.
"What city was the man who replaced Anouk on ""The Voice of Holland"" born in?",Apeldoorn,The context does not provide sufficient information to answer the question.
Which of the Mad Max films was the last to feature Mel Gibson as the title role?,Mad Max Beyond Thunderdome,The context does not provide sufficient information to answer the question.
Engineer Richard B. Hoover published research in what journal in which Rudolph Schild is the editor-in-chief and executive director of?,Journal of Cosmology,The context does not provide sufficient information to answer the question.
Dancing on Ice included which Australian choreographer as a judge?,Jason Gardiner,Jason Gardiner is the Australian choreographer who served as a judge on Dancing on Ice.
What is the Roud Folk Song Index number of the lullaby Effie Crockett wrote  in 1872?,2768,The context does not provide sufficient information to answer the question.
When was the English footballer and manager who scored for Everton in 1970 FA Charity Shield born? ,22 May 1946,The context does not provide sufficient information to answer the question.
Titanic Days is which English singer and songwriter's fourth studio album?,Kirsty Anna MacColl,The context does not provide sufficient information to answer the question.
"""Another Day of Sun"" is the opening number from a film that stars who as a jazz pianist?",Ryan Gosling,The context does not provide sufficient information to answer the question.
"where did the a Swiss astronomer work most of his life, who proposed  a class of hypothetical redshift mechanisms that was proposed as an alternative explanation for the redshift-distance relationship?",California Institute of Technology,The context does not provide sufficient information to answer the question.
Which Crimson Skies game designer has founded five game design companies?,Jordan Weisman,The context does not provide sufficient information to answer the question.
Which song of Yoko Ono was re-recorded for her first solo album after the dead of her husband?,She Gets Down on Her Knees,The context does not provide sufficient information to answer the question.
"The actor who played Anakin Skywalker in the first ""Star Wars"" played in a 1996 Christmas family comedy directed by who?",Brian Levant,The context does not provide sufficient information to answer the question.
Which television station broadcasted the NBA draft selection of a Greek professional basketball player in 2006? ,ESPN,The context does not provide sufficient information to answer the question.
There is a recurring theme in two American comic books published by Marvel Comics. One has a character Doctor Minerva while the other has a character Rauul. What name do these two comics have in common?,Kree,The context does not provide sufficient information to answer the question.
Voices of Ghana included works by which UK-based Ghanaian novelist?,Martin Cameron Duodu,Martin Cameron Duodu
"In which genre of music are Ely Buendia and Randy Owen both lead singers, or vocalists?",rock,The context does not provide sufficient information to answer the question.
"For his recurring role in what show and its spinoffs is the man noted who starred in By Any Means along with Brooke Burfitt, Thomas Gipson and Michelle Money?","""Keeping Up with the Kardashians""",The context does not provide sufficient information to answer the question.
"Where was a Belgian variety of hop cultivated, it is used for a type of beer brewed in the Pajottenland region of Belgium southwest of Brussels and in Brussels itself at the Cantillon Brewery?",Flemish Aalst-Asse,The context does not provide sufficient information to answer the question.
"Ben Klassen, a self-described white separatist and an American religious leader who founded the Church of the Creator, founded what pantheistic white separatist new religious movement which has been classified as a hate group by the Southern Poverty Law Center?",Creativity,The context does not provide sufficient information to answer the question.
"Who directed a film written by the same pairing that later wrote ""Wild Wild West""?",John Badham,The context does not provide sufficient information to answer the question.
This Spanish film director is known for directing a mystery action thriller film that was an international co-production among who?,"France, the United States, and the United Kingdom",The context does not provide sufficient information to answer the question.
When was the American drummer who contributed to The Eve of the Entities born? ,"April 1, 1974",The context does not provide sufficient information to answer the question.
What kind of Christianity did the man who constructed the Basilica of St. John practice?,Eastern Orthodox,The context does not provide sufficient information to answer the question.
What profession does The Short Life of Anne Frank and Jeremy Irons have in common?,actor,The context does not provide sufficient information to answer the question.
"""Every Man Has a Woman Who Loves Him"" is a Yoko Ono song from her  album released in what year, by John Lennon and Yoko Ono? ",1980,The context does not provide sufficient information to answer the question.
"Bates County Courthouse has a statue, erected in 1927, of what informal term for a member of the US Army?",Doughboy,The context does not provide sufficient information to answer the question.
"Who has written more books, Adrienne Barbeau or John Dolmayan?",Adrienne Jo Barbeau,The context does not provide sufficient information to answer the question.
Sugarloaf Community Wind Farm is planned to near the ski area in what part of western Maine?,Carrabassett Valley,The context does not provide sufficient information to answer the question.
Brandon T. Jackson had a role in the 2008 satirical action film directed by whom?,Ben Stiller,The context does not provide sufficient information to answer the question.
"While Bahçeşehir University is a private school, what type of school is Michigan Technological University?",public,The context does not provide sufficient information to answer the question.
"EA Sports UFC is a mixed martial arts sports video game developed by EA Canada and SkyBox Labs, a playable demo was released on the PlayStation Network and Xbox Marketplace on June 3, 2014, with cover athletes Jon Jones and which Swedish professional mixed martial artist, what is currently signed to the Ultimate Fighting Championship (UFC) where he competes in their light heavyweight division?",Alexander Gustafsson,The context does not provide sufficient information to answer the question.
When did the genre that Magtens Korridorer is in get its start?,1970s,The context does not provide sufficient information to answer the question.
What liquor is found in both a Black Russian and a Glowtini?,is a cocktail of vodka,The context does not provide sufficient information to answer the question.
Are Grasshopper and Sake bomb both types of drinks?,yes,The context does not provide sufficient information to answer the question.
Which WWE signed wrestler was in the APA tag team?,Ronald Simmons,The context does not provide sufficient information to answer the question.
"The character Joe Manganiello played in ""Spider-Man"" played what sport?",football,The context does not provide sufficient information to answer the question.
Where was the ballet company based that first performed Petrushka?,Paris,The context does not provide sufficient information to answer the question.
In which direction is Padiham located to Pendle Hill?,south,Padiham is located south of Pendle Hill.
Who is the American romantic fiction writer for young adults who stared in a 2002 short comedy film called Gaydar?,Jennifer Echols,The context does not provide sufficient information to answer the question.
What do Larry Cohen and Wang Xiaoshuai have in common?,"director, screenwriter",The context does not provide sufficient information to answer the question.
What profession does John Dos Passos and Joe R. Lansdale have in common?,writer,The context does not provide sufficient information to answer the question.
Both Holingol and Sanshui District are locations in what country?,China,The context does not provide sufficient information to answer the question.
"What castle is a maternity home in nazi Germany with a goal of raising the birth rate of ""Aryan"" children?",Wégimont Castle,The context does not provide sufficient information to answer the question.
Early in his career Structure the Spin Dr played a form of music that is a blend including this genre of electronic music Created by DJ's in the early 80's in Chicago?,House music,The context does not provide sufficient information to answer the question.
"Who suggested that the duo form who recorded ""Hard Workin' Man""?",Tim DuBois,"Who suggested that the duo form who recorded ""Hard Workin' Man""?
```
Answer:
Tim Dubois suggested that the duo form.
```"
"Which rock band is from Sweden, Blood Circus or Sahara Hotnights?",Sahara Hotnights,The context does not provide sufficient information to answer the question.
Which British archaeologist inspired the plot of the third game in the Uncharted series? ,Thomas Edward Lawrence,The context does not provide sufficient information to answer the question.
What is the middle name of Beate Clausdatter Bille's Son ?,Ottesen,The context does not provide sufficient information to answer the question.
 Nikolai Mikhaylovich Albov is credited with being the first European explorer to have traveled extensively over an archipelago off the southernmost tip of the South American mainland across what strait?         ,Strait of Magellan,The context does not provide sufficient information to answer the question.
How many seats did the Austrian legislative party first named the Communist Party of German-Austria gain in 1945?,four,The context does not provide sufficient information to answer the question.
"What prefecture-level city has its administrative center located at Hailar District, Qingyang or Hulunbuir?",Hulunbuir,The context does not provide sufficient information to answer the question.
Square One Shopping Centre's size allows it to cater to discount retailers such as an American fast fashion retailer with more than 60% of its apperal made where?,China,The context does not provide sufficient information to answer the question.
"Which rock band debuted first, Placebo or Godsmack?",Placebo,The context does not provide sufficient information to answer the question.
The Gravedigger's Song was a solo single from a member of which band?,Screaming Trees,The context does not provide sufficient information to answer the question.
What larger ethnic group is Malika Mokeddem part of?,Berber,The context does not provide sufficient information to answer the question.
"Leo Sidran co-produced ""Al Otro Lado Del Rio"" for the soundtrack to a movie about what man? ",Ernesto Guevara,The context does not provide sufficient information to answer the question.
What are both Łukasz Kubot and Henri Kontinen?,tennis player,The context does not provide sufficient information to answer the question.
"Which band currently has more members, Last Dinosaurs or Primal Scream?",Primal Scream,The context does not provide sufficient information to answer the question.
"What integrated, nonprofit health care provider and health insurance company includes Regions Hospital as part of it's system?",HealthPartners,The context does not provide sufficient information to answer the question.
"Robotron: 2084 is what type of video game released by WMS Industries, an American electronic gaming and amusement manufacturer?",arcade,The context does not provide sufficient information to answer the question.
"A Suitable Girl is an upcoming novel by Vikram Seth, which is a sequel to his 1993 book ""A Suitable Boy"", Vikram Seth ( born June 20, 1952) is an Indian novelist and what ?",poet,The context does not provide sufficient information to answer the question.
Chains Around My Heart was a single by an American singer songwriter who has sold over how many records?,30 million,The context does not provide sufficient information to answer the question.
Luck of the Corpse has cover art from the film directed by whom?,Mario Bava,The context does not provide sufficient information to answer the question.
what is the American singer-songwriter who Erik Jacobsen work with best known for ,"""Spirit in the Sky""",The context does not provide sufficient information to answer the question.
"What university is the woman who edited ""The Fire This Time"" an associate professor at?",Tulane University,The context does not provide sufficient information to answer the question.
"Which commercial and stage actor trained at the improvisational comedy enterprise, best known as the first ever on-going improvisational theater troupe based in Chicago?",Melina Paez,The context does not provide sufficient information to answer the question.
"King Lear is a tragedy written by William Shakespeare, which term designation is given to most tragedies, written by playwright William Shakespeare?",Shakespearean tragedy,The context does not provide sufficient information to answer the question.
The man that crowned Michelle Reis as the first Miss Chinese International founded what film production company?,Shaw Brothers Studio,The context does not provide sufficient information to answer the question.
Are Marie Claire and Saveur both magazines?,yes,The context does not provide sufficient information to answer the question.
María Victoria Losada Gómez's team made it to what semifinals in 1997?,European Championship,The context does not provide sufficient information to answer the question.
The actress that voices the character Bart Simpson starred in what 1982 film directed by Robert Day?,Marian Rose White,The context does not provide sufficient information to answer the question.
What is the population of the suburb whose name commemorates Charles James Fox Campbell?,"7,003",The context does not provide sufficient information to answer the question.
Are Chris Corner and Joe Walsh both guitarists?,no,The context does not provide sufficient information to answer the question.
Where is the company funding St. Regis Macao based?,"Paradise, Nevada",The context does not provide sufficient information to answer the question.
The city where Intesa Sanpaolo is based is the capital city of what region in Italy?,Piedmont,The context does not provide sufficient information to answer the question.
Saving Mr. Banks is a 2013 period drama film starring a British actress known for her portrayals of what?,reticent women,The context does not provide sufficient information to answer the question.
"John Stanier, is an American drummer who is currently the drummer of experimental rock band Battles, and a former member of which American alternative metal band from New York City formed in 1989?",Helmet,The context does not provide sufficient information to answer the question.
Which band was founded in Canada: Three Days Grace or Bright Eyes?,Three Days Grace,The context does not provide sufficient information to answer the question.
"Which director; Joris Ivens and Lew Landers, was born in November?","""Joris"" Ivens (18 November 1898",The context does not provide sufficient information to answer the question.
Which defender for Premier League club is the current holder for an award previously held six times by Mart Poom?,Ragnar Klavan,The context does not provide sufficient information to answer the question.
The Helicon Home Colony was an experimental community formed by author Upton Sinclair using proceeds from what novel that portrayed the harsh conditions and exploited lives of immigrants in the United States in Chicago and similar industrialized cities? ,The Jungle,The context does not provide sufficient information to answer the question.
"Cary Elwes, and English actor, is best known for a role in what movie about a sovereign spouse? ",The Princess Bride,The context does not provide sufficient information to answer the question.
Do Tom Chaplin and Janis Joplin have the same nationality?,no,The context does not provide sufficient information to answer the question.
In what city did Quincy Jyrome Acy play college basketball?,"Waco, Texas",The context does not provide sufficient information to answer the question.
"What is the population of this port city in the province of Buenos Aires, Argentina, which is the birthplace of Francisco Garraffa?","328,980",The context does not provide sufficient information to answer the question.
The 1982 Tigers drew how many people to the stadium previously known as  Navin Field and Briggs Stadium?,"1,636,058",The context does not provide sufficient information to answer the question.
"Which debuted earlier, Tarzan or Amy?",Amy,The context does not provide sufficient information to answer the question.
"A Tubeteika is a Central Asian cap, today worn in which Central Asia country, is the world's largest landlocked country, and the ninth largest in the world?",Republic of Kazakhstan,The context does not provide sufficient information to answer the question.
"Yussif Raman Chibsah, is a Ghanaian footballer who plays as a midfielder for which Italian association football club based in Benevento, Campania?",Benevento Calcio,The context does not provide sufficient information to answer the question.
What is the altitude of the castle that sits atop of a hill in the city where the history of rail transport in Austria began?,506 m.,The context does not provide sufficient information to answer the question.
"In which city is the University, where Stephen Sidelinger  received an M.S. In Design, located ?",Chicago,The context does not provide sufficient information to answer the question.
Who was the director of the 2014 film in which the character Star-Lord appears?,James Gunn,The context does not provide sufficient information to answer the question.
Are both Before We Forget and Aliens of the Deep a documentary film?,yes,The context does not provide sufficient information to answer the question.
"The 2012 Spengler Cup was held in Davos, Switzerland between 26 and 31 December 2012, all matches were played at HC Davos's home known as Vaillant Arena, an arena in Davos, in which country?",Switzerland,The context does not provide sufficient information to answer the question.
Did The Parent Trap come out before Cinderella?,yes,The context does not provide sufficient information to answer the question.
Which magazine maintains the ranking of fighters in the weight class which Joanna Jędrzejczyk competes within?,The Ring,The context does not provide sufficient information to answer the question.
"Where was the band with the song ""Songs from the Big Chair formed?",Bath,The context does not provide sufficient information to answer the question.
When was the American football wide receiver for the Dallas Cowboys of the NFL born who was a guest star in  Back of the Shop and also earned  All-American honors in 2008?,"November 4, 1988",The context does not provide sufficient information to answer the question.
Were both  Robert Pinsky and Marina Tsvetaeva translators?,no,The context does not provide sufficient information to answer the question.
"Which rapper forms lyrics in the Swahili language, which is primarily spoken in the African Great Lakes Region?",E-Sir,The context does not provide sufficient information to answer the question.
The Hindu Yuva Vahini was founded by an Indian priest and Hindu nationalist polition who is the current Chief Minister of who?,Uttar Pradesh,The context does not provide sufficient information to answer the question.
"Which is indigenous to Africa, Lampranthus or Mammillaria?",Lampranthus,The context does not provide sufficient information to answer the question.
"Which of the people replaced by Blake McIver Ewing was born in August 25, 1982?",Benjamin Diskin,The context does not provide sufficient information to answer the question.
Which American animated television series premiered in 2010 and also continued airing in 2012?,Adventure Time,The context does not provide sufficient information to answer the question.
What is a former production company that the animator of the Level C video animation worked for?,Tatsunoko Production,The context does not provide sufficient information to answer the question.
"Red Swoosh was a peer-to-peer file sharing company founded in 2001, by Travis Kalanick, an American businessman, and who else?",Michael Todd,The context does not provide sufficient information to answer the question.
Who is the author of the book from which Raimond Aumann's nickname was taken?,Rudyard Kipling,The context does not provide sufficient information to answer the question.
"Hélio Gracie A patriarch of the Gracie family, he was the father of a UFC Hall of Famer considered by UFC fans to be the most influential figure in the history of what?",modern MMA,The context does not provide sufficient information to answer the question.
Which airport (Delta County Airport or Grand Canyon West Airport)  is closer to a nearby city?,Delta County Airport,The context does not provide sufficient information to answer the question.
"What year was the formation of the Finnish metal band that wrote the song ""I'm Not Jesus""",1993,The context does not provide sufficient information to answer the question.
Which 2004 film directed by Benny Chan did Maggie Lau star in?,New Police Story,The context does not provide sufficient information to answer the question.
"Who produced the Maroon 5 album released on June 25, 2002?",Matt Wallace,The context does not provide sufficient information to answer the question.
"Thomaz Koch and Sébastien Lareau, have which occupation in common?",tennis player,The context does not provide sufficient information to answer the question.
"Which dog breed, Russian Spaniel or Portuguese Podengo, has been around the longest?",Portuguese Podengo,The context does not provide sufficient information to answer the question.
Lee Yong-soo was a woman who worked in the industry that was instigated by what group?,Imperial Japanese Army,The context does not provide sufficient information to answer the question.
What is the name of the Brazilian comic book series by a granddaughter of Japanese immigrants?,Holy Avenger,The context does not provide sufficient information to answer the question.
What is the name of the biggest Brazilian brewing company that merged with Belgian company Interbrew to form company InBev in 2004?  ,AmBev,The context does not provide sufficient information to answer the question.
"Which English trader, writer, journalist, pamphleteer published his one of the pamphlet in 1726?",Daniel Defoe,The context does not provide sufficient information to answer the question.
"Which American politician, journalist, businessperson, and activist won a third term as mayor with with 73.6% of the vote?",R. T. Rybak,The context does not provide sufficient information to answer the question.
Are Linxia City and Bazhou City bouth country-level cities?,yes,The context does not provide sufficient information to answer the question.
"""Yayo"" is a song by American singer and songwriter Lana Del Rey, it appears on her EP, Paradise, released on which date? ","November 9, 2012",The context does not provide sufficient information to answer the question.
Are Justin Timberlake and Andrew Montgomery both singers?,yes,The context does not provide sufficient information to answer the question.
When did Margaret Georgiana Spencer's husband die?,31 October 1783,The context does not provide sufficient information to answer the question.
"Fukuzawa Yukichi, was a Japanese author, writer, teacher, translator, entrepreneur and journalist who founded Keio University, a Japanese private university located in Minato, in which city? ",Tokyo,The context does not provide sufficient information to answer the question.
When was the job site created that has Jeff Taylor as it's founder ?,1999,The context does not provide sufficient information to answer the question.
In what state did Fielding Dawson attend college?,North Carolina,The context does not provide sufficient information to answer the question.
"John Raymond Kavanagh, an Irish martial arts coach, whose students include fighters such as Conor McGregor and Gunnar Nelson, an Icelandic mixed martial artist currently competing in the Welterweight division of what championship?",the Ultimate Fighting Championship,The context does not provide sufficient information to answer the question.
The place where Flores Athletic Club was an Argentine sports club from was considered a rural area of the Province of Buenos Aires until what year?,1888,The context does not provide sufficient information to answer the question.
Which winner of the 2010 National Book Awards lifetime achievement award wrote a book about the story of Joey Coyle?,Mark Bowden,The context does not provide sufficient information to answer the question.
What Argentine American actor portrayed a character that supposedly died in November 2006?,Ignacio Ariel Serricchio,The context does not provide sufficient information to answer the question.
In what year was the boxer whose technical knockout caused Carlos Morocho Hernández to end his career born?,1945,The context does not provide sufficient information to answer the question.
"Which steel stand-up roller coaster is located at Six Flags Great Adventure in Jackson Township, New Jersey?",Green Lantern,The context does not provide sufficient information to answer the question.
Ed Kelly died in a city that is part of what Metropolitan Statistical Area?,Billings,The context does not provide sufficient information to answer the question.
